MS_system,Microservice,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLineCodeDecl,CountLineCodeExe,CountSemicolon,SumCyclomatic,PackageSumCa,PackageSumCe,PackageSumNOC,PackageSumNOI,PackageSumPkgRCi,PackageSumPkgTCi,PackageSumTLOC,degree_centrality,in_degree_centrality,out_degree_centrality,eigenvector_centrality,closeness_centralty,betweenness_centrality,load_centrality,harmonic_centrality,information_centrality,currrent_flow_centrality,subgraph_centrality
piggymetrics,account-service,31.0,1483.0,332.0,1094.0,57.0,782.0,513.0,328.0,31.0,5.0,6.0,0.0,113.0,63.0,118.0,14.0,5.0,0.0,99.0,669.0,352.0,641.0,112.0,,,,,,,,0.4166666666666666,0.25,0.1666666666666666,0.2730828967604916,0.3472222222222222,0.0391414141414141,0.0391414141414141,5.5,0.1264077977294314,0.1220388878497831,30.276293966459836
piggymetrics,auth-service,14.0,537.0,118.0,408.0,11.0,265.0,213.0,67.0,14.0,1.0,2.0,0.0,32.0,20.0,33.0,1.0,0.0,2.0,30.0,279.0,99.0,219.0,34.0,16.0,11.0,14.0,2.0,3.9,23.0,177.0,0.5,0.1666666666666666,0.3333333333333333,0.1834615582825173,0.3205128205128205,0.0037878787878787,0.0037878787878787,4.833333333333334,0.1339620606598041,0.1499543245316569,43.745381288613785
piggymetrics,config,2.0,38.0,6.0,29.0,4.0,15.0,12.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,16.0,9.0,11.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,11.0,0.6666666666666666,0.0,0.6666666666666666,3.884303003094106e-09,0.0,0.0,0.0,0.0,0.1444763234077749,0.2860997487171567,54.651497265721815
piggymetrics,gateway,5.0,110.0,27.0,81.0,3.0,52.0,43.0,11.0,5.0,2.0,0.0,0.0,5.0,1.0,7.0,1.0,0.0,0.0,6.0,57.0,14.0,40.0,7.0,,,,,,,,0.6666666666666666,0.25,0.4166666666666666,0.3755585669352113,0.4385964912280701,0.3939393939393939,0.3939393939393939,6.166666666666666,0.1392935019624945,0.291904734797659,46.270466998861934
piggymetrics,monitoring,2.0,30.0,7.0,23.0,0.0,14.0,13.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,18.0,1.0,10.0,2.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,0.1666666666666666,0.1666666666666666,0.0,0.0955053971961513,0.288095238095238,0.0,0.0,4.65,0.0818608533915246,0.0375135196675585,5.405072602063146
piggymetrics,notification-service,23.0,1132.0,258.0,831.0,43.0,597.0,403.0,247.0,24.0,2.0,1.0,0.0,72.0,39.0,74.0,13.0,1.0,0.0,60.0,504.0,301.0,511.0,71.0,19.0,14.0,22.0,5.0,118.875,955.75,432.0,0.5,0.25,0.25,0.2730828967604916,0.3472222222222222,0.1148989898989899,0.1148989898989899,5.5,0.1331397592312931,0.2748185857140149,32.4344634807386
piggymetrics,registry,3.0,45.0,9.0,36.0,0.0,21.0,18.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,24.0,6.0,15.0,3.0,,,,,,,,0.5833333333333333,0.5,0.0833333333333333,0.5853320635949328,0.5555555555555556,0.303030303030303,0.303030303030303,7.833333333333333,0.1401773062985115,0.1996687512028778,50.46557353390375
piggymetrics,statistics-service,29.0,1499.0,347.0,1078.0,74.0,767.0,541.0,305.0,30.0,3.0,5.0,0.0,107.0,59.0,110.0,7.0,6.0,0.0,97.0,661.0,383.0,631.0,112.0,27.0,17.0,27.0,4.0,94.135181705,837.583333333,613.0,0.5,0.3333333333333333,0.1666666666666666,0.2730829589093397,0.3968253968253968,0.1148989898989899,0.1148989898989899,6.25,0.1331397592312932,0.2748185857140148,32.434463480738536
piggymetrics,turbine-stream-service,2.0,32.0,7.0,25.0,0.0,15.0,14.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,20.0,1.0,11.0,2.0,0.0,0.0,2.0,0.0,0.5,1.0,9.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1955030762700471,0.3333333333333333,0.1287878787878787,0.1287878787878787,5.0,0.1132486425156009,0.1377488093205063,13.91036193311582
qbike,intention,27.0,1032.0,137.0,782.0,118.0,539.0,376.0,219.0,29.0,2.0,4.0,0.0,49.0,74.0,51.0,6.0,6.0,0.0,39.0,485.0,264.0,437.0,83.0,,,,,,,,0.1428571428571428,0.0,0.1428571428571428,3.5122574634822536e-10,0.0,0.0,0.0,0.0,0.0331034482758621,0.072802197802198,3.1008872384378625
