MS_system,Package,SQ reliability remediation effort,Security rating,Critical violations,Violations,Sqale rating,Cognitive complexity,Minor violations,Info violations,Security remediation effort,SQ maintainability remediation effort,Security hotspots,Effort to reach rating A,Duplicated blocks,Reliability remediation effort,Reliability rating,Code smells,SQ security remediation effort,Bugs,Major violations
spring-boot-microservices-workshop,io.javabrains.ratingsdataservice.resources,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
spring-boot-microservices-workshop,io.javabrains.movieinfoservice.resources,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
website,org.flowant.website.controller,0,1.0,0,3,1.0,0,0,2,0,5,0,0,0,0,1.0,3,0,0,1
website,org.flowant.website.repository.devutil,0,1.0,0,1,1.0,4,1,0,0,2,0,0,0,0,1.0,1,0,0,0
website,org.flowant.website.repository.devutil,5,1.0,1,1,1.0,1,0,0,0,0,1,0,1,5,4.0,0,0,1,0
website,org.flowant.website.event,0,1.0,0,4,1.0,3,1,1,0,15,0,0,0,0,1.0,4,0,0,2
website,org.flowant.website,0,1.0,1,6,1.0,8,2,2,0,16,0,0,0,0,1.0,6,0,0,1
website,org.flowant.website,10,1.0,3,68,1.0,32,15,18,0,394,3,0,12,10,4.0,66,0,2,32
website,org.flowant.website,5,1.0,1,100,1.0,29,62,1,0,735,1,0,1,5,4.0,99,0,1,36
website,org.flowant.website.gateway,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
website,org.flowant.website.registry,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
website,org.flowant.website.model,5,1.0,1,26,1.0,5,5,15,0,66,1,0,12,5,4.0,25,0,1,5
website,org.flowant.website.repository,0,1.0,0,1,1.0,5,1,0,0,2,0,0,0,0,1.0,1,0,0,0
website,org.flowant.website.repository,0,1.0,1,18,1.0,7,4,1,0,231,0,0,0,0,1.0,18,0,0,12
website,org.flowant.website.repository,5,1.0,1,1,1.0,1,0,0,0,0,1,0,1,5,4.0,0,0,1,0
website,org.flowant.website.rest,0,1.0,0,99,1.0,28,62,1,0,735,0,0,0,0,1.0,99,0,0,36
website,org.flowant.website.util.test,5,1.0,1,17,1.0,16,5,1,0,67,2,0,0,5,4.0,16,0,1,10
website,org.flowant.website.util,5,1.0,1,20,1.0,17,5,1,0,82,2,0,0,5,4.0,19,0,1,13
piggymetrics,com.piggymetrics.account.client,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.notification.client,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.statistics.client,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
