Package,A,CCRC,Ca,Ce,NOC,NOI,PkgRCi,PkgTCi,TLOC,DMS,I
config.service,0.333333333,233.333333333,3.0,3.0,3.0,1.0,1.333333333,28.0,137.0,0.166666667,0.5
adminorder.controller,0.0,300.0,0.0,1.0,1.0,0.0,0.0,0.0,47.0,0.0,1.0
adminorder.service,0.0,300.0,0.0,1.0,1.0,0.0,0.0,0.0,75.0,0.0,1.0
foodsearch,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
foodsearch.config,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,19.0,1.0,0.0
foodsearch.controller,0.0,400.0,1.0,1.0,1.0,0.0,2.777777778,25.0,46.0,0.5,0.5
foodsearch.entity,0.0,0.0,6.0,0.0,3.0,0.0,1.0,3.0,25.0,1.0,0.0
foodsearch.mq,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,8.0,0.666666667,0.333333333
foodsearch.repository,1.0,0.0,2.0,1.0,1.0,1.0,1.4,7.0,7.0,0.333333333,0.333333333
foodsearch.service,0.5,350.0,3.0,2.0,2.0,1.0,3.2,48.0,215.0,0.1,0.4
preserve,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
preserve.config,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,18.0,1.0,0.0
preserve.controller,0.0,150.0,0.0,2.0,2.0,0.0,0.8,4.0,31.0,0.0,1.0
preserve.mq,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,0.5,0.5
preserve.service,0.333333333,100.0,2.0,1.0,3.0,1.0,2.526315789,48.0,342.0,0.333333333,0.333333333
edu.fudan.common.config,0.0,0.0,0.0,0.0,1.0,0.0,1.25,2.5,11.0,,
edu.fudan.common.entity,0.0,48.648648649,0.0,4.0,37.0,0.0,1.666666667,95.0,573.0,0.0,1.0
edu.fudan.common.exception,0.0,50.0,1.0,0.0,2.0,0.0,2.333333333,7.0,13.0,1.0,0.0
edu.fudan.common.security.jwt,0.0,50.0,0.0,1.0,2.0,0.0,2.0,16.0,64.0,0.0,1.0
edu.fudan.common.util,0.0,0.0,4.0,0.0,3.0,0.0,2.111111111,19.0,71.0,1.0,0.0
rebook.entity,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,,
execute,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
execute.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
execute.controller,0.0,150.0,0.0,2.0,2.0,0.0,1.142857143,8.0,38.0,0.0,1.0
execute.serivce,0.5,50.0,3.0,0.0,2.0,1.0,3.111111111,28.0,121.0,0.5,0.0
execute.service,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,63.0,0.0,1.0
route,0.0,0.0,0.0,0.0,1.0,0.0,1.5,3.0,8.0,,
route.config,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,12.0,,
route.controller,0.0,250.0,0.0,2.0,2.0,0.0,1.357142857,19.0,71.0,0.0,1.0
route.entity,0.0,0.0,7.0,0.0,2.0,0.0,4.0,12.0,31.0,1.0,0.0
route.init,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,69.0,0.0,1.0
